Mur,3,3
Mur,4,3
Mur,2,4
Mur,2,5
Mur,3,6
Mur,4,7
Mur,4,8
Mur,1,8
Mur,1,10
Box,4,1
Box,3,2
Box,4,4
Box,5,3
Box,4,5
Box,5,6
Box,6,6
Box,2,9
Box,3,9
Item,3,4
Item,1,9
Item,4,10
Background,./Image/Niveau_7/fond.png
Obstacle,./Image/Obstacle/obstacle.png
Bateau,./Image/Bateau/sunny.png,1200,300
Caisse,./Image/Obstacle/box.png
Coffre,./Image/Obstacle/item_2.png
Element_1,./Image/Niveau_7/arbre_1.png,350,0
Element_2,./Image/Niveau_7/arbre_2.png,700,50
Element_3,./Image/Niveau_7/arbre_2.png,150,420
Element_4,./Image/Niveau_7/arbre_2.png,450,420
Element_5,./Image/Niveau_7/arbre_2.png,1000,220
Element_6,./Image/Niveau_7/arbre_2.png,900,450
