Mur,2,3
Mur,4,2
Mur,6,2
Mur,4,4
Mur,6,5
Mur,4,5
Mur,3,5
Mur,1,7
Mur,2,7
Mur,4,7
Mur,5,7
Mur,4,9
Mur,5,9
Mur,5,11
Mur,1,12
Mur,5,2
Mur,6,12
Box,2,2
Box,1,3
Box,5,4
Box,6,4
Box,3,8
Box,1,8
Box,6,9
Box,2,12
Box,3,10
Item,3,7
Item,5,10
Item,2,11
Background,./Image/Niveau_2/fond.png
Obstacle,./Image/Obstacle/obstacle.png
Bateau,./Image/Bateau/vogue_merry.png,1200,300
Caisse,./Image/Obstacle/box.png
Coffre,./Image/Obstacle/item_1.png
Element_1,./Image/Niveau_2/cactus.png,150,200
Element_2,./Image/Niveau_2/cactus.png,550,150
Element_3,./Image/Niveau_2/cactus.png,950,100
Element_4,./Image/Niveau_2/cactus.png,1100,300
Element_5,./Image/Niveau_2/cactus.png,350,550
Element_6,./Image/Niveau_2/cactus.png,1200,500
Element_7,./Image/Niveau_2/squelette.png,850,150
