Mur,2,3
Mur,2,4
Mur,2,5
Mur,2,6
Mur,2,8
Mur,2,9
Mur,3,3
Mur,3,9
Mur,4,3
Mur,5,3
Mur,5,4
Mur,5,6
Mur,5,7
Mur,5,8
Mur,5,9
Mur,4,9
Box,4,4
Box,3,6
Box,4,6
Box,3,8
Box,1,12
Box,2,12
Box,5,12
Box,6,12
Item,4,5
Item,3,7
Background,./Image/Niveau_8/fond.png
Obstacle,./Image/Obstacle/obstacle.png
Bateau,./Image/Bateau/sunny.png,1200,300
Caisse,./Image/Obstacle/box.png
Coffre,./Image/Obstacle/item_2.png
Element_1,./Image/Niveau_8/gateau_1.png,200,200
Element_2,./Image/Niveau_8/gateau_1.png,1000,500
Element_3,./Image/Niveau_8/gateau_2.png,1000,200
Element_4,./Image/Niveau_8/gateau_2.png,200,500
Element_5,./Image/Niveau_8/gateau_3.png,500,300
Element_6,./Image/Niveau_8/gateau_3.png,800,300
Element_7,./Image/Niveau_8/gateau_3.png,800,600
Element_8,./Image/Niveau_8/gateau_4.png,100,50
